KNOTE,BEZEI,CITY,REGIO
AL2707107,Piranhas - AL,Piranhas,AL
AL2707206,Poço Das Trincheiras - AL,Poço Das Trincheiras,AL
AL2707305,Porto Calvo - AL,Porto Calvo,AL
AL2707404,Porto De Pedras - AL,Porto De Pedras,AL
AL2707503,Porto Real Do Colégio - AL,Porto Real Do Colégio,AL
AL2707602,Quebrangulo - AL,Quebrangulo,AL
AL2707701,Rio Largo - AL,Rio Largo,AL
AL2707800,Roteiro - AL,Roteiro,AL
AL2707909,Santa Luzia Do Norte - AL,Santa Luzia Do Norte,AL
AL2708006,Santana Do Ipanema - AL,Santana Do Ipanema,AL
AL2708105,Santana Do Mundaú - AL,Santana Do Mundaú,AL
AL2708204,São Brás - AL,São Brás,AL
AL2708303,São José Da Laje - AL,São José Da Laje,AL
AL2708402,São José Da Tapera - AL,São José Da Tapera,AL
AL2708501,São Luís Do Quitunde - AL,São Luís Do Quitunde,AL
AL2708600,São Miguel Dos Campos - AL,São Miguel Dos Campos,AL
AL2708709,São Miguel Dos Milagres - AL,São Miguel Dos Milagres,AL
AL2708808,São Sebastião - AL,São Sebastião,AL
AL2708907,Satuba - AL,Satuba,AL
AL2708956,Senador Rui Palmeira - AL,Senador Rui Palmeira,AL
AL2709004,Tanque D´Arca - AL,Tanque D´Arca,AL
AL2709103,Taquarana - AL,Taquarana,AL
AL2709152,Teotônio Vilela - AL,Teotônio Vilela,AL
AL2709202,Traipu - AL,Traipu,AL
AL2709301,União Dos Palmares - AL,União Dos Palmares,AL
AL2709400,Viçosa - AL,Viçosa,AL
AM1300029,Alvarães - AM,Alvarães,AM
AM1300060,Amaturá - AM,Amaturá,AM
AM1300086,Anamã - AM,Anamã,AM
AM1300102,Anori - AM,Anori,AM
AM1300144,Apuí - AM,Apuí,AM
AM1300201,Atalaia Do Norte - AM,Atalaia Do Norte,AM
AM1300300,Autazes - AM,Autazes,AM
AM1300409,Barcelos - AM,Barcelos,AM
AM1300508,Barreirinha - AM,Barreirinha,AM
AM1300607,Benjamin Constant - AM,Benjamin Constant,AM
AM1300631,Beruri - AM,Beruri,AM
AM1300680,Boa Vista Do Ramos - AM,Boa Vista Do Ramos,AM
AM1300706,Boca Do Acre - AM,Boca Do Acre,AM
AM1300805,Borba - AM,Borba,AM
AM1300839,Caapiranga - AM,Caapiranga,AM
AM1300904,Canutama - AM,Canutama,AM
AM1301001,Carauari - AM,Carauari,AM
AM1301100,Careiro - AM,Careiro,AM
AM1301159,Careiro Da Várzea - AM,Careiro Da Várzea,AM
AM1301209,Coari - AM,Coari,AM
AM1301308,Codajás - AM,Codajás,AM
AM1301407,Eirunepé - AM,Eirunepé,AM
AM1301506,Envira - AM,Envira,AM
AM1301605,Fonte Boa - AM,Fonte Boa,AM
AM1301654,Guajará - AM,Guajará,AM
AM1301704,Humaitá - AM,Humaitá,AM
AM1301803,Ipixuna - AM,Ipixuna,AM
AM1301852,Iranduba - AM,Iranduba,AM
AM1301902,Itacoatiara - AM,Itacoatiara,AM
AM1301951,Itamarati - AM,Itamarati,AM
AM1302009,Itapiranga - AM,Itapiranga,AM
AM1302108,Japurá - AM,Japurá,AM
AM1302207,Juruá - AM,Juruá,AM
AM1302306,Jutaí - AM,Jutaí,AM
AM1302405,Lábrea - AM,Lábrea,AM
AM1302504,Manacapuru - AM,Manacapuru,AM
AM1302553,Manaquiri - AM,Manaquiri,AM
AM1302603,Manaus - AM,Manaus,AM
AM1302702,Manicoré - AM,Manicoré,AM
AM1302801,Maraã - AM,Maraã,AM
AM1302900,Maués - AM,Maués,AM
AM1303007,Nhamundá - AM,Nhamundá,AM
AM1303106,Nova Olinda Do Norte - AM,Nova Olinda Do Norte,AM
AM1303205,Novo Airão - AM,Novo Airão,AM
AM1303304,Novo Aripuanã - AM,Novo Aripuanã,AM
AM1303403,Parintins - AM,Parintins,AM
AM1303502,Pauini - AM,Pauini,AM
AM1303536,Presidente Figueiredo - AM,Presidente Figueiredo,AM
AM1303569,Rio Preto Da Eva - AM,Rio Preto Da Eva,AM
AM1303601,Santa Isabel Do Rio Negro - AM,Santa Isabel Do Rio Negro,AM
AM1303700,Santo Antônio Do Içá - AM,Santo Antônio Do Içá,AM
AM1303809,São Gabriel Da Cachoeira - AM,São Gabriel Da Cachoeira,AM
AM1303908,São Paulo De Olivença - AM,São Paulo De Olivença,AM
AM1303957,São Sebastião Do Uatumã - AM,São Sebastião Do Uatumã,AM
AM1304005,Silves - AM,Silves,AM
AM1304062,Tabatinga - AM,Tabatinga,AM
AM1304104,Tapauá - AM,Tapauá,AM
AM1304203,Tefé - AM,Tefé,AM
AM1304237,Tonantins - AM,Tonantins,AM
AM1304260,Uarini - AM,Uarini,AM
AM1304302,Urucará - AM,Urucará,AM
AM1304401,Urucurituba - AM,Urucurituba,AM
AP1600055,Serra Do Navio - AP,Serra Do Navio,AP
AP1600105,Amapá - AP,Amapá,AP
AP1600154,Pedra Branca Do Amapari - AP,Pedra Branca Do Amapari,AP
AP1600204,Calçoene - AP,Calçoene,AP
AP1600212,Cutias - AP,Cutias,AP
AP1600238,Ferreira Gomes - AP,Ferreira Gomes,AP
AP1600253,Itaubal - AP,Itaubal,AP
AP1600279,Laranjal Do Jari - AP,Laranjal Do Jari,AP
AP1600303,Macapá - AP,Macapá,AP
AP1600402,Mazagão - AP,Mazagão,AP
AP1600501,Oiapoque - AP,Oiapoque,AP
AP1600535,Porto Grande - AP,Porto Grande,AP
AP1600550,Pracuúba - AP,Pracuúba,AP
AP1600600,Santana - AP,Santana,AP
AP1600709,Tartarugalzinho - AP,Tartarugalzinho,AP
AP1600808,Vitória Do Jari - AP,Vitória Do Jari,AP
BA2900108,Abaíra - BA,Abaíra,BA
BA2900207,Abaré - BA,Abaré,BA
BA2900306,Acajutiba - BA,Acajutiba,BA
BA2900355,Adustina - BA,Adustina,BA
BA2900405,Água Fria - BA,Água Fria,BA
BA2900504,Érico Cardoso - BA,Érico Cardoso,BA
BA2900603,Aiquara - BA,Aiquara,BA
BA2900702,Alagoinhas - BA,Alagoinhas,BA
BA2900801,Alcobaça - BA,Alcobaça,BA
BA2900900,Almadina - BA,Almadina,BA
BA2901007,Amargosa - BA,Amargosa,BA
BA2901106,Amélia Rodrigues - BA,Amélia Rodrigues,BA
BA2901155,América Dourada - BA,América Dourada,BA
BA2901205,Anagé - BA,Anagé,BA
BA2901304,Andaraí - BA,Andaraí,BA
BA2901353,Andorinha - BA,Andorinha,BA
BA2901403,Angical - BA,Angical,BA
BA2901502,Anguera - BA,Anguera,BA
BA2901601,Antas - BA,Antas,BA
BA2901700,Antônio Cardoso - BA,Antônio Cardoso,BA
BA2901809,Antônio Gonçalves - BA,Antônio Gonçalves,BA
BA2901908,Aporá - BA,Aporá,BA
BA2901957,Apuarema - BA,Apuarema,BA
BA2902005,Aracatu - BA,Aracatu,BA
BA2902054,Araças - BA,Araças,BA
BA2902104,Araci - BA,Araci,BA
BA2902203,Aramari - BA,Aramari,BA
BA2902252,Arataca - BA,Arataca,BA
BA2902302,Aratuípe - BA,Aratuípe,BA
BA2902401,Aurelino Leal - BA,Aurelino Leal,BA
BA2902500,Baianópolis - BA,Baianópolis,BA
BA2902609,Baixa Grande - BA,Baixa Grande,BA
BA2902658,Banzaê - BA,Banzaê,BA
BA2902708,Barra - BA,Barra,BA
BA2902807,Barra Da Estiva - BA,Barra Da Estiva,BA
BA2902906,Barra Do Choça - BA,Barra Do Choça,BA
BA2903003,Barra Do Mendes - BA,Barra Do Mendes,BA
BA2903102,Barra Do Rocha - BA,Barra Do Rocha,BA
BA2903201,Barreiras - BA,Barreiras,BA
BA2903235,Barro Alto - BA,Barro Alto,BA
BA2903276,Barrocas - BA,Barrocas,BA
BA2903300,Governador Lomanto Júnior - BA,Governador Lomanto Júnior,BA
BA2903409,Belmonte - BA,Belmonte,BA
BA2903508,Belo Campo - BA,Belo Campo,BA
BA2903607,Biritinga - BA,Biritinga,BA
BA2903706,Boa Nova - BA,Boa Nova,BA
BA2903805,Boa Vista Do Tupim - BA,Boa Vista Do Tupim,BA
BA2903904,Bom Jesus Da Lapa - BA,Bom Jesus Da Lapa,BA
BA2903953,Bom Jesus Da Serra - BA,Bom Jesus Da Serra,BA
BA2904001,Boninal - BA,Boninal,BA
BA2904050,Bonito - BA,Bonito,BA
BA2904100,Boquira - BA,Boquira,BA
BA2904209,Botuporã - BA,Botuporã,BA
BA2904308,Brejões - BA,Brejões,BA
BA2904407,Brejolândia - BA,Brejolândia,BA
BA2904506,Brotas De Macaúbas - BA,Brotas De Macaúbas,BA
BA2904605,Brumado - BA,Brumado,BA
BA2904704,Buerarema - BA,Buerarema,BA
BA2904753,Buritirama - BA,Buritirama,BA
BA2904803,Caatiba - BA,Caatiba,BA
BA2904852,Cabaceiras Do Paraguaçu - BA,Cabaceiras Do Paraguaçu,BA
BA2904902,Cachoeira - BA,Cachoeira,BA
BA2905008,Caculé - BA,Caculé,BA
BA2905107,Caém - BA,Caém,BA
BA2905156,Caetanos - BA,Caetanos,BA
BA2905206,Caetité - BA,Caetité,BA
BA2905305,Cafarnaum - BA,Cafarnaum,BA
BA2905404,Cairu - BA,Cairu,BA
BA2905503,Caldeirão Grande - BA,Caldeirão Grande,BA
BA2905602,Camacan - BA,Camacan,BA
BA2905701,Camaçari - BA,Camaçari,BA
BA2905800,Camamu - BA,Camamu,BA
BA2905909,Campo Alegre De Lourdes - BA,Campo Alegre De Lourdes,BA
BA2906006,Campo Formoso - BA,Campo Formoso,BA
BA2906105,Canápolis - BA,Canápolis,BA
BA2906204,Canarana - BA,Canarana,BA
BA2906303,Canavieiras - BA,Canavieiras,BA
BA2906402,Candeal - BA,Candeal,BA
BA2906501,Candeias - BA,Candeias,BA
BA2906600,Candiba - BA,Candiba,BA
BA2906709,Cândido Sales - BA,Cândido Sales,BA
BA2906808,Cansanção - BA,Cansanção,BA
BA2906824,Canudos - BA,Canudos,BA
BA2906857,Capela Do Alto Alegre - BA,Capela Do Alto Alegre,BA
BA2906873,Capim Grosso - BA,Capim Grosso,BA
BA2906899,Caraíbas - BA,Caraíbas,BA
BA2906907,Caravelas - BA,Caravelas,BA
BA2907004,Cardeal Da Silva - BA,Cardeal Da Silva,BA
BA2907103,Carinhanha - BA,Carinhanha,BA
BA2907202,Casa Nova - BA,Casa Nova,BA
BA2907301,Castro Alves - BA,Castro Alves,BA
BA2907400,Catolândia - BA,Catolândia,BA
BA2907509,Catu - BA,Catu,BA
BA2907558,Caturama - BA,Caturama,BA
BA2907608,Central - BA,Central,BA
BA2907707,Chorrochó - BA,Chorrochó,BA
BA2907806,Cícero Dantas - BA,Cícero Dantas,BA
BA2907905,Cipó - BA,Cipó,BA
BA2908002,Coaraci - BA,Coaraci,BA
BA2908101,Cocos - BA,Cocos,BA
BA2908200,Conceição Da Feira - BA,Conceição Da Feira,BA
BA2908309,Conceição Do Almeida - BA,Conceição Do Almeida,BA
BA2908408,Conceição Do Coité - BA,Conceição Do Coité,BA
BA2908507,Conceição Do Jacuípe - BA,Conceição Do Jacuípe,BA
BA2908606,Conde - BA,Conde,BA
BA2908705,Condeúba - BA,Condeúba,BA
BA2908804,Contendas Do Sincorá - BA,Contendas Do Sincorá,BA
BA2908903,Coração De Maria - BA,Coração De Maria,BA
BA2909000,Cordeiros - BA,Cordeiros,BA
BA2909109,Coribe - BA,Coribe,BA
BA2909208,Coronel João Sá - BA,Coronel João Sá,BA
BA2909307,Correntina - BA,Correntina,BA
BA2909406,Cotegipe - BA,Cotegipe,BA
BA2909505,Cravolândia - BA,Cravolândia,BA
BA2909604,Crisópolis - BA,Crisópolis,BA
BA2909703,Cristópolis - BA,Cristópolis,BA
BA2909802,Cruz Das Almas - BA,Cruz Das Almas,BA
BA2909901,Curaçá - BA,Curaçá,BA
BA2910008,Dário Meira - BA,Dário Meira,BA
BA2910057,Dias D´Ávila - BA,Dias D´Ávila,BA
BA2910107,Dom Basílio - BA,Dom Basílio,BA
BA2910206,Dom Macedo Costa - BA,Dom Macedo Costa,BA
BA2910305,Elísio Medrado - BA,Elísio Medrado,BA
BA2910404,Encruzilhada - BA,Encruzilhada,BA
BA2910503,Entre Rios - BA,Entre Rios,BA
BA2910602,Esplanada - BA,Esplanada,BA
BA2910701,Euclides Da Cunha - BA,Euclides Da Cunha,BA
BA2910727,Eunápolis - BA,Eunápolis,BA
BA2910750,Fátima - BA,Fátima,BA
BA2910776,Feira Da Mata - BA,Feira Da Mata,BA
BA2910800,Feira De Santana - BA,Feira De Santana,BA
BA2910859,Filadélfia - BA,Filadélfia,BA
BA2910909,Firmino Alves - BA,Firmino Alves,BA
BA2911006,Floresta Azul - BA,Floresta Azul,BA
BA2911105,Formosa Do Rio Preto - BA,Formosa Do Rio Preto,BA
BA2911204,Gandu - BA,Gandu,BA
BA2911253,Gavião - BA,Gavião,BA
BA2911303,Gentio Do Ouro - BA,Gentio Do Ouro,BA
BA2911402,Glória - BA,Glória,BA
BA2911501,Gongogi - BA,Gongogi,BA
BA2911600,Governador Mangabeira - BA,Governador Mangabeira,BA
BA2911659,Guajeru - BA,Guajeru,BA
BA2911709,Guanambi - BA,Guanambi,BA
BA2911808,Guaratinga - BA,Guaratinga,BA
BA2911857,Heliópolis - BA,Heliópolis,BA
BA2911907,Iaçu - BA,Iaçu,BA
BA2912004,Ibiassucê - BA,Ibiassucê,BA
BA2912103,Ibicaraí - BA,Ibicaraí,BA
BA2912202,Ibicoara - BA,Ibicoara,BA
BA2912301,Ibicuí - BA,Ibicuí,BA
BA2912400,Ibipeba - BA,Ibipeba,BA
BA2912509,Ibipitanga - BA,Ibipitanga,BA
BA2912608,Ibiquera - BA,Ibiquera,BA
BA2912707,Ibirapitanga - BA,Ibirapitanga,BA
BA2912806,Ibirapuã - BA,Ibirapuã,BA
BA2912905,Ibirataia - BA,Ibirataia,BA
BA2913002,Ibitiara - BA,Ibitiara,BA
BA2913101,Ibititá - BA,Ibititá,BA
BA2913200,Ibotirama - BA,Ibotirama,BA
BA2913309,Ichu - BA,Ichu,BA
BA2913408,Igaporã - BA,Igaporã,BA
BA2913457,Igrapiúna - BA,Igrapiúna,BA
BA2913507,Iguaí - BA,Iguaí,BA
BA2913606,Ilhéus - BA,Ilhéus,BA
BA2913705,Inhambupe - BA,Inhambupe,BA
BA2913804,Ipecaetá - BA,Ipecaetá,BA
BA2913903,Ipiaú - BA,Ipiaú,BA
BA2914000,Ipirá - BA,Ipirá,BA
BA2914109,Ipupiara - BA,Ipupiara,BA
BA2914208,Irajuba - BA,Irajuba,BA
BA2914307,Iramaia - BA,Iramaia,BA
BA2914406,Iraquara - BA,Iraquara,BA
BA2914505,Irará - BA,Irará,BA
BA2914604,Irecê - BA,Irecê,BA
BA2914653,Itabela - BA,Itabela,BA
BA2914703,Itaberaba - BA,Itaberaba,BA
BA2914802,Itabuna - BA,Itabuna,BA
BA2914901,Itacaré - BA,Itacaré,BA
BA2915007,Itaeté - BA,Itaeté,BA
BA2915106,Itagi - BA,Itagi,BA
BA2915205,Itagibá - BA,Itagibá,BA
BA2915304,Itagimirim - BA,Itagimirim,BA
BA2915353,Itaguaçu Da Bahia - BA,Itaguaçu Da Bahia,BA
BA2915403,Itaju Do Colônia - BA,Itaju Do Colônia,BA
BA2915502,Itajuípe - BA,Itajuípe,BA
BA2915601,Itamaraju - BA,Itamaraju,BA
BA2915700,Itamari - BA,Itamari,BA
BA2915809,Itambé - BA,Itambé,BA
BA2915908,Itanagra - BA,Itanagra,BA
BA2916005,Itanhém - BA,Itanhém,BA
BA2916104,Itaparica - BA,Itaparica,BA
BA2916203,Itapé - BA,Itapé,BA
BA2916302,Itapebi - BA,Itapebi,BA
BA2916401,Itapetinga - BA,Itapetinga,BA
BA2916500,Itapicuru - BA,Itapicuru,BA
BA2916609,Itapitanga - BA,Itapitanga,BA
BA2916708,Itaquara - BA,Itaquara,BA
BA2916807,Itarantim - BA,Itarantim,BA
BA2916856,Itatim - BA,Itatim,BA
BA2916906,Itiruçu - BA,Itiruçu,BA
BA2917003,Itiúba - BA,Itiúba,BA
BA2917102,Itororó - BA,Itororó,BA
BA2917201,Ituaçu - BA,Ituaçu,BA
BA2917300,Ituberá - BA,Ituberá,BA
BA2917334,Iuiú - BA,Iuiú,BA
BA2917359,Jaborandi - BA,Jaborandi,BA
BA2917409,Jacaraci - BA,Jacaraci,BA
BA2917508,Jacobina - BA,Jacobina,BA
BA2917607,Jaguaquara - BA,Jaguaquara,BA
BA2917706,Jaguarari - BA,Jaguarari,BA
BA2917805,Jaguaripe - BA,Jaguaripe,BA
BA2917904,Jandaíra - BA,Jandaíra,BA
BA2918001,Jequié - BA,Jequié,BA
BA2918100,Jeremoabo - BA,Jeremoabo,BA
BA2918209,Jiquiriçá - BA,Jiquiriçá,BA
BA2918308,Jitaúna - BA,Jitaúna,BA
BA2918357,João Dourado - BA,João Dourado,BA
BA2918407,Juazeiro - BA,Juazeiro,BA
BA2918456,Jucuruçu - BA,Jucuruçu,BA
BA2918506,Jussara - BA,Jussara,BA
BA2918555,Jussari - BA,Jussari,BA
BA2918605,Jussiape - BA,Jussiape,BA
BA2918704,Lafaiete Coutinho - BA,Lafaiete Coutinho,BA
BA2918753,Lagoa Real - BA,Lagoa Real,BA
BA2918803,Laje - BA,Laje,BA
BA2918902,Lajedão - BA,Lajedão,BA
BA2919009,Lajedinho - BA,Lajedinho,BA
BA2919058,Lajedo Do Tabocal - BA,Lajedo Do Tabocal,BA
BA2919108,Lamarão - BA,Lamarão,BA
BA2919157,Lapão - BA,Lapão,BA
BA2919207,Lauro De Freitas - BA,Lauro De Freitas,BA
BA2919306,Lençóis - BA,Lençóis,BA
BA2919405,Licínio De Almeida - BA,Licínio De Almeida,BA
BA2919504,Livramento De Nossa Senhora - BA,Livramento De Nossa Senhora,BA
BA2919553,Luís Eduardo Magalhães - BA,Luís Eduardo Magalhães,BA
BA2919603,Macajuba - BA,Macajuba,BA
BA2919702,Macarani - BA,Macarani,BA
BA2919801,Macaúbas - BA,Macaúbas,BA
BA2919900,Macururé - BA,Macururé,BA
BA2919926,Madre De Deus - BA,Madre De Deus,BA
BA2919959,Maetinga - BA,Maetinga,BA
BA2920007,Maiquinique - BA,Maiquinique,BA
BA2920106,Mairi - BA,Mairi,BA
BA2920205,Malhada - BA,Malhada,BA
BA2920304,Malhada De Pedras - BA,Malhada De Pedras,BA
BA2920403,Manoel Vitorino - BA,Manoel Vitorino,BA
BA2920452,Mansidão - BA,Mansidão,BA
BA2920502,Maracás - BA,Maracás,BA
BA2920601,Maragogipe - BA,Maragogipe,BA
BA2920700,Maraú - BA,Maraú,BA
BA2920809,Marcionílio Souza - BA,Marcionílio Souza,BA
BA2920908,Mascote - BA,Mascote,BA
BA2921005,Mata De São João - BA,Mata De São João,BA
BA2921054,Matina - BA,Matina,BA
BA2921104,Medeiros Neto - BA,Medeiros Neto,BA
BA2921203,Miguel Calmon - BA,Miguel Calmon,BA
BA2921302,Milagres - BA,Milagres,BA
BA2921401,Mirangaba - BA,Mirangaba,BA
BA2921450,Mirante - BA,Mirante,BA
BA2921500,Monte Santo - BA,Monte Santo,BA
BA2921609,Morpará - BA,Morpará,BA
BA2921708,Morro Do Chapéu - BA,Morro Do Chapéu,BA
BA2921807,Mortugaba - BA,Mortugaba,BA
BA2921906,Mucugê - BA,Mucugê,BA
BA2922003,Mucuri - BA,Mucuri,BA
BA2922052,Mulungu Do Morro - BA,Mulungu Do Morro,BA
BA2922102,Mundo Novo - BA,Mundo Novo,BA
BA2922201,Muniz Ferreira - BA,Muniz Ferreira,BA
BA2922250,Muquém De São Francisco - BA,Muquém De São Francisco,BA
BA2922300,Muritiba - BA,Muritiba,BA
BA2922409,Mutuípe - BA,Mutuípe,BA
BA2922508,Nazaré - BA,Nazaré,BA
BA2922607,Nilo Peçanha - BA,Nilo Peçanha,BA
BA2922656,Nordestina - BA,Nordestina,BA
BA2922706,Nova Canaã - BA,Nova Canaã,BA
BA2922730,Nova Fátima - BA,Nova Fátima,BA
BA2922755,Nova Ibiá - BA,Nova Ibiá,BA
BA2922805,Nova Itarana - BA,Nova Itarana,BA
BA2922854,Nova Redenção - BA,Nova Redenção,BA
BA2922904,Nova Soure - BA,Nova Soure,BA
BA2923001,Nova Viçosa - BA,Nova Viçosa,BA
BA2923035,Novo Horizonte - BA,Novo Horizonte,BA
BA2923050,Novo Triunfo - BA,Novo Triunfo,BA
BA2923100,Olindina - BA,Olindina,BA
BA2923209,Oliveira Dos Brejinhos - BA,Oliveira Dos Brejinhos,BA
BA2923308,Ouriçangas - BA,Ouriçangas,BA
BA2923357,Ourolândia - BA,Ourolândia,BA
BA2923407,Palmas De Monte Alto - BA,Palmas De Monte Alto,BA
BA2923506,Palmeiras - BA,Palmeiras,BA
BA2923605,Paramirim - BA,Paramirim,BA
BA2923704,Paratinga - BA,Paratinga,BA
BA2923803,Paripiranga - BA,Paripiranga,BA
BA2923902,Pau Brasil - BA,Pau Brasil,BA
BA2924009,Paulo Afonso - BA,Paulo Afonso,BA
BA2924058,Pé De Serra - BA,Pé De Serra,BA
BA2924108,Pedrão - BA,Pedrão,BA
BA2924207,Pedro Alexandre - BA,Pedro Alexandre,BA
BA2924306,Piatã - BA,Piatã,BA
BA2924405,Pilão Arcado - BA,Pilão Arcado,BA
BA2924504,Pindaí - BA,Pindaí,BA
BA2924603,Pindobaçu - BA,Pindobaçu,BA
BA2924652,Pintadas - BA,Pintadas,BA
BA2924678,Piraí Do Norte - BA,Piraí Do Norte,BA
BA2924702,Piripá - BA,Piripá,BA
BA2924801,Piritiba - BA,Piritiba,BA
BA2924900,Planaltino - BA,Planaltino,BA
BA2925006,Planalto - BA,Planalto,BA
BA2925105,Poções - BA,Poções,BA
BA2925204,Pojuca - BA,Pojuca,BA
BA2925253,Ponto Novo - BA,Ponto Novo,BA
BA2925303,Porto Seguro - BA,Porto Seguro,BA
BA2925402,Potiraguá - BA,Potiraguá,BA
BA2925501,Prado - BA,Prado,BA
BA2925600,Presidente Dutra - BA,Presidente Dutra,BA
BA2925709,Presidente Jânio Quadros - BA,Presidente Jânio Quadros,BA
BA2925758,Presidente Tancredo Neves - BA,Presidente Tancredo Neves,BA
BA2925808,Queimadas - BA,Queimadas,BA
BA2925907,Quijingue - BA,Quijingue,BA
